,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000213782,3609.8314067884735,0.6159296373124806,0.12462879728129068,4.942113305661694,7.728027889443409e-07,4.733922843271617e-05
ENSG00000120963,2205.750590140742,0.5829092593089706,0.11797911337616256,4.940783521998787,7.780925918486807e-07,4.741501731577898e-05
ENSG00000107890,2598.802436718332,-0.6583252283690079,0.13330868692523093,-4.938352057568791,7.878551426254063e-07,4.7617123519509e-05
ENSG00000150787,1699.8024445288434,0.6083948682657044,0.12320840467996484,4.937933169786725,7.89548885708098e-07,4.7617123519509e-05
ENSG00000171314,5879.137292873717,0.6687719261580387,0.13565049115944305,4.930110613252162,8.218307028970273e-07,4.8717673592613803e-05
ENSG00000134001,5412.20588673902,0.5546879790132834,0.11246131819624337,4.932255711651546,8.128540650282146e-07,4.8717673592613803e-05
ENSG00000184863,2132.3158108307402,-0.5988132738252676,0.12152416485869617,-4.9275242872193,8.327807451728855e-07,4.8717673592613803e-05
ENSG00000120306,1272.6404472227907,0.6480543972503904,0.13147994175822003,4.928922150285897,8.268451117805483e-07,4.8717673592613803e-05
ENSG00000253816,658.7457926241043,-0.8910640310194861,0.18070884345914767,-4.9309376008536425,8.183587393131865e-07,4.8717673592613803e-05
ENSG00000133640,189.1452980641777,-1.1948329787038976,0.24247063782794873,-4.927742960579508,8.31849510047777e-07,4.8717673592613803e-05
ENSG00000101367,4462.359397936724,0.6262307261791953,0.12717078275805102,4.924328627988644,8.465047540295225e-07,4.927415732410653e-05
ENSG00000139636,531.9631431137565,-0.935808630568485,0.19035405601065547,-4.916147573530564,8.826387266411772e-07,5.112313416684046e-05
ENSG00000108179,2220.4857238746363,0.5803532028269589,0.11820823748232448,4.909583419799643,9.127006883320414e-07,5.260393129795509e-05
ENSG00000165637,4718.7713946784925,0.5570340761523185,0.11366579348012648,4.900630691939095,9.55294836466813e-07,5.478896856206722e-05
ENSG00000181467,1219.331948285554,0.6320643377827896,0.12948598941524161,4.881333807906095,1.053707034696977e-06,6.0138401492461604e-05
ENSG00000196611,216.0761010675702,1.4082686178923116,0.28911993445138057,4.870880385901343,1.111020872081507e-06,6.310167089006618e-05
ENSG00000244879,1259.129837299494,-0.6466395473266912,0.13292147425937675,-4.864823768542237,1.1455883544536452e-06,6.475064612129299e-05
