,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000114686,2635.492016331201,-0.596736519245789,0.14714811038997794,4.055346124828199,5.0060118734579215e-05,0.0005637938536760381
ENSG00000122359,10465.747651151498,-0.5162411636234813,0.12729525963189622,4.055462592372351,5.003517994707862e-05,0.0005637938536760381
ENSG00000167325,2549.974177140739,-0.5465108258712285,0.13475923258340375,4.055461101954464,5.0035499010644835e-05,0.0005637938536760381
ENSG00000138175,348.1561942601841,-0.793923273928296,0.1958882623063157,4.052939489997706,5.0578087744912135e-05,0.0005691593357983333
ENSG00000110917,4394.992038925346,-0.5144551046492348,0.12695727370867207,4.05219086406779,5.074024417095373e-05,0.0005705153069960684
ENSG00000104889,811.3807291471758,-0.6367452603332806,0.15716244827785877,4.0515101877742,5.088810991616132e-05,0.0005708214702578379
ENSG00000164587,19055.85685653234,-0.6041026165905756,0.1490966769643589,4.05175104429044,5.083574116680417e-05,0.0005708214702578379
ENSG00000180530,2000.57977597837,0.7112446450204984,0.17555137915642077,-4.0514899309720676,5.089251662539759e-05,0.0005708214702578379
ENSG00000073803,3159.646529809948,0.5477567605079389,0.13528649612892205,-4.04886501004469,5.146661779189436e-05,0.0005767883229623513
ENSG00000076003,1280.1591123807902,-0.6554218872051694,0.16197193595778014,4.046515115902626,5.198576921664453e-05,0.0005816545011617213
ENSG00000076604,2545.73587688858,0.6024258195079053,0.1488731117283005,-4.0465723629620705,5.1973063117972775e-05,0.0005816545011617213
ENSG00000151465,1362.8838753201528,-0.5826040775335908,0.1440926500954746,4.043260202012817,5.2713065342232095e-05,0.0005893105549892805
ENSG00000070087,2348.4676339874245,-0.5429242804260455,0.1343272146849107,4.041804050650306,5.304154813873666e-05,0.0005924991857748765
ENSG00000074071,1926.02880002228,-0.5710887825611495,0.14134060349293243,4.04051467482029,5.333402747483786e-05,0.0005952807712044861
ENSG00000150938,866.5016530480565,0.672352014981942,0.16645363558964277,-4.039275036560257,5.361666481012217e-05,0.0005977341696496447
ENSG00000129559,4315.134215952377,-0.5245639005371295,0.12987542926828322,4.038977222192965,5.368477755889471e-05,0.0005977341696496447
ENSG00000114861,1436.8428204776405,0.6133589012535915,0.15185931230594224,-4.038994329290077,5.3680862797851516e-05,0.0005977341696496447
ENSG00000197756,10818.821904912274,-0.5271347659985661,0.130637117470729,4.0351071441596815,5.4577386552718114e-05,0.0006066861273047683
ENSG00000117318,158.94857731711144,1.1108653870588452,0.2756251761964022,-4.0303480341987195,5.569432687690783e-05,0.0006186000053359713
ENSG00000116857,1316.8949507453099,-0.5993568301154625,0.1487427168528291,4.0294869073050865,5.5898728921181734e-05,0.0006203671738862106
ENSG00000158615,783.9559310417101,0.6353567841734044,0.1578072670848781,-4.026156690437277,5.669591605228536e-05,0.000628196254317191
ENSG00000145741,5483.694098906393,-0.5864603891246939,0.14565632434965892,4.026329730227517,5.665422992808763e-05,0.000628196254317191
ENSG00000064393,1464.4641824431321,0.6294006600376758,0.15636283167292137,-4.025257494404115,5.6913004900661015e-05,0.0006300918367943028
ENSG00000111775,3802.9543493581823,-0.512306665928367,0.1273216206081886,4.023720900513093,5.728580123795902e-05,0.0006337068238722526
ENSG00000150961,178.69667169324956,1.043607680633006,0.25954347293976887,-4.020935948850432,5.796736625510224e-05,0.0006407288788245562
ENSG00000138796,584.7086633835193,-0.6700445646674951,0.16670917985740638,4.019242163152703,5.8385637063666784e-05,0.0006448316932152554
ENSG00000116809,451.46173936719174,0.7507884190818763,0.18692042348327698,-4.016620576237066,5.903866318045061e-05,0.0006515185272008632
ENSG00000145365,208.27116744140716,0.9493339338832687,0.2363797148425108,-4.016139601977976,5.915922025823805e-05,0.0006523232861808132
ENSG00000100226,576.8276184095719,0.6887262269659181,0.1715527497581816,-4.014661542509445,5.9531159220812455e-05,0.000655369152354523
ENSG00000110841,1105.879375696212,0.6319696103169159,0.15740918884094424,-4.014820322563864,5.949109789186727e-05,0.000655369152354523
ENSG00000198937,409.7511855871901,-0.7871782792063562,0.19629866314041086,4.010105145969812,6.069171500608774e-05,0.000667073063409608
ENSG00000166681,2916.3269514882436,-0.551603982081186,0.1376304309318152,4.007863510610247,6.1270511165587e-05,0.0006718171740694267
ENSG00000170222,78.10657851795585,1.3706125873720774,0.34195902197275385,-4.008119392391066,6.120417854613766e-05,0.0006718171740694267
ENSG00000197579,1280.5278905902828,0.5828130428325583,0.14541649710590618,-4.007888062439698,6.12641436069446e-05,0.0006718171740694267
ENSG00000145113,29.95737019620074,2.287818042668991,0.5708601556012997,-4.007668113146173,6.132121017185991e-05,0.0006718351786428972
ENSG00000100815,2344.893821429863,0.6935377551254416,0.1731680832364147,-4.004997584795122,6.201811479790855e-05,0.0006789273238667927
ENSG00000154265,255.90845988221284,0.8571764417214176,0.21421043920353014,-4.001562411750527,6.292559207106648e-05,0.0006883114883492455
ENSG00000041880,207.95459718083254,0.9813521868726975,0.24534489972539086,-3.9998882714541995,6.337239566274525e-05,0.0006922652361246406
ENSG00000076108,2809.835814426069,0.5308169600976749,0.1327098976217202,-3.9998294747444505,6.338814210297915e-05,0.0006922652361246406
ENSG00000089157,17014.486261720864,-0.624104041698688,0.15608184767177685,3.998569026496348,6.37265968121971e-05,0.000695125036704156
ENSG00000104320,938.1510686697054,0.7082139769412074,0.17712095670501313,-3.99847646555289,6.375151851773785e-05,0.000695125036704156
ENSG00000167755,953.4810710515303,-0.5965361737341724,0.14921111531175735,3.997933883731029,6.389779238951814e-05,0.000696165685580311
ENSG00000278535,519.5361232823603,-0.6988373438985809,0.17494208593399874,3.994678239758926,6.478217062930485e-05,0.0007052399258889745
ENSG00000007545,747.2972465879288,0.6209267785090699,0.15548615766995882,-3.9934537441401954,6.511778660768642e-05,0.0007083304905419108
ENSG00000102531,631.8377706131967,0.7037781426895453,0.17627743357287107,-3.992446046127688,6.539521530098107e-05,0.0007107837091642347
ENSG00000167468,3815.839784500799,-0.5311356120881181,0.13313858793204938,3.9893438884840546,6.62563076479669e-05,0.0007195718740990537
ENSG00000166123,1107.8078148387008,0.5813161269602858,0.145732417200138,-3.988928051347352,6.637254739300425e-05,0.0007202631034446856
ENSG00000169228,1762.6162471881985,0.7224286836471167,0.18114719897300818,-3.9880753759530227,6.661150122153715e-05,0.0007222838552881642
ENSG00000167775,1408.952165942706,-0.5901761609101875,0.14800537714157283,3.9875318877479793,6.676423298627254e-05,0.0007233672236922488
ENSG00000100902,3720.9124906115658,0.5178840513193302,0.1298828833569268,-3.9873156333937434,6.682509718384163e-05,0.0007234543129902855
ENSG00000054598,451.86474617837496,0.7112773330586175,0.17842620227664663,-3.986395069687101,6.708477530336912e-05,0.0007256919413741233
ENSG00000100077,409.70221857069066,0.7394661032194103,0.18554333771392378,-3.9854090819447316,6.736396759821166e-05,0.0007281369662648056
ENSG00000183386,289.95797379358606,0.8218629556139481,0.20627992197776712,-3.98421207325514,6.770439030815822e-05,0.000731239452105857
ENSG00000151500,453.28585784879033,-0.7093789525218279,0.17805812745796293,3.9839740125836296,6.777228723935608e-05,0.0007313959603963606
ENSG00000146587,783.9370670452882,0.6193929681744087,0.15547978340906388,-3.9837524505986703,6.783553648651319e-05,0.0007315021040809434
ENSG00000175701,933.2413613320234,-0.602475831854573,0.15137814704645208,3.9799392687089536,6.89328760629661e-05,0.0007427503836997017
ENSG00000097033,1107.6579602017919,0.6120062753301397,0.1537911108828303,-3.9794645595375955,6.907065531048979e-05,0.0007430854599001972
ENSG00000101856,2342.168734278035,-0.5579093153690727,0.14019730388588947,3.979458234255138,6.907249291368756e-05,0.0007430854599001972
ENSG00000085224,9027.155395787928,0.5581076426115201,0.14037565870992472,-3.9758149506874676,7.013865039592434e-05,0.0007531630812931345
ENSG00000213221,739.5610498340442,-0.648729638505909,0.16318157642382838,3.975507852804265,7.022922634620904e-05,0.0007531630812931345
ENSG00000090273,4661.352684222016,-0.506963057240968,0.12752008527782546,3.9755545656706373,7.021544164501898e-05,0.0007531630812931345
